Player Name,Team,Region,Win Rate,KDA,Cpm,Gpm,Kill Participation,Most played champ,Main role,Dpm
Odoamne,H2K,EU,61.1,3.2,6.3,335.1,63.9,"Rumble, Gnar, Shen",Top,475.9
Loulex,H2K,EU,61.1,3.2,2.6,282.5,63.7,"Gragas, Rek'Sai, Olaf",Jungle,217.7
Ryu,H2K,EU,61.1,4.9,8.3,387.1,62.4,"Jayce, Viktor, Twisted Fate",Mid,566.2
Hjarnan,H2K,EU,61.1,6.2,8.7,408.4,68.9,"Sivir, Jinx, Kalista",ADC,604
kaSing,H2K,EU,61.1,6.2,0.8,247.2,74.3,"Thresh, Alistar, Annie",Support,131.6
Vizicsacsi,Unicorns of Love,EU,50,3.1,6.3,325.1,77,"Maokai, Shen, Ryze",Top,372.9
Gilius,Unicorns of Love,EU,50,2.1,2.8,277,87.5,"Lee Sin, Gragas, Rengar",Jungle,222
PowerOfEvil,Unicorns of Love,EU,50,4.3,8.2,370.3,68.1,"Orianna, Kog'Maw, Cassiopeia",Mid,648.3
Vardags,Unicorns of Love,EU,50,4,7.7,360.6,66.1,"Sivir, Corki, Jinx",ADC,433.9
Hylissang,Unicorns of Love,EU,50,2.9,0.5,224.5,72.5,"Alistar, Annie, Braum",Support,135.6
Steve,ROCCAT,EU,47.4,2.7,6.5,326.2,71.1,"Maokai, Rumble, Ekko",Top,398.6
Jankos,ROCCAT,EU,47.4,4.2,3.3,298.6,73,"Gragas, Rek'Sai, Lee Sin",Jungle,268.1
Nukeduck,ROCCAT,EU,47.4,4.9,8.3,371.8,74.2,"Azir, Varus, Viktor",Mid,613.6
MrRalleZ,ROCCAT,EU,53.8,4.9,8.3,369.7,67.2,"Sivir, Corki, Kalista",ADC,501.9
Vander,ROCCAT,EU,47.4,4.6,1,229.6,71.9,"Alistar, Nautilus, Janna",Support,127.3
Werlyb,Giants Gaming,EU,42.1,2.5,6.8,336.6,67.1,"Ryze, Jax, Shyvana",Top,437.7
Fr3deric,Giants Gaming,EU,42.1,2.2,2.9,277.3,68.3,"Gragas, Rek'Sai, Evelynn",Jungle,228.2
